countryname,slug,canonicalNames,population,flightPrice,timeDifference,CurrencyRate,developmentStatus,visaType
Comoros,comoros,['Africa'],806K people,"₹60,716.00",2 hrs 30 min behind,"Comorian Franc,100 INR = 543.25 KMF",Least Developed,Visa on Arrival
Djibouti,djibouti,['Africa'],900K people,"₹30,964.00",2 hrs 30 min behind,"Djibouti Franc,100 INR = 214.98 DJF",Least Developed,E-visa
Guinea-Bissau,guinea-bissau,['Africa'],2M people,"₹63,346.00",5 hrs 30 min behind,"West African CFA franc,100 INR = 3.27 XCD",Least Developed,Visa on Arrival
Liberia,liberia,"['Monrovia', 'Africa']",5M people,"₹43,986.00",5 hrs 30 min behind,"Liberian Dollar,100 INR = 232.56 LRD",Least Developed,Visa Required
Marshall Islands,marshall-islands,[''],55K people,"₹158,472.00",6 hrs 30 min ahead,"US Dollar,100 INR = 1.21 USD",Developing,Visa on Arrival
Mauritania,mauritania,['Africa'],4M people,"₹51,528.00",5 hrs 30 min behind,"Ouguiya,100 INR = 48.23 MRU",Least Developed,Visa on Arrival
Palau,palau,"['Belau', 'Pelew']",18K people,"₹56,488.00",3 hrs 30 min ahead,"US Dollar,100 INR = 1.21 USD",Developing,Visa on Arrival
Saint Lucia,saint-lucia,['Caribbean'],186K people,"₹64,353.00",9 hrs 30 min behind,"East Caribbean Dollar,100 INR = 724.20 XOF",Developing,Visa on Arrival
Samoa,samoa,[''],195K people,"₹58,793.00",7 hrs 30 min ahead,"Samoan Tala,100 INR= 3.29 WST",Developing,Visa on Arrival
Seychelles,seychelles,['Africa'],91K people,"₹28,033.00",1 hr 30 min behind,"Seychelles Rupee,100 INR = 16.48 SCR",Developing,E-visa
Sierra Leone,sierra-leone,"['Freetown', 'Africa']",7M people,"₹51,696.00",5 hrs 30 min behind,"Leone,100 INR = 23875.38 SLL",Least Developed,E-visa
Solomon Islands,solomon-islands,[''],642K people,"₹56,501.00",5 hrs 30 min ahead,"Solomon Islands Dollar,100 INR = 10.22 SBD",Least Developed,Visa Required
Somalia,somalia,['Africa'],11M people,"₹35,453.00",2 hrs 30 min behind,"Somali Shilling,100 INR = 690.61 SOS",Least Developed,Visa Required
Togo,togo,['Africa'],7M people,"₹39,316.00",5 hrs 30 min behind,"West African CFA franc,100 INR = 3.27 XCD",Least Developed,E-visa
